baseMean,log2FoldChange,lfcSE,pvalue,padj
CAPN5,82.0633530336312,2.37068901386715,0.592269869805758,1.85495727263355e-06,5.29879312609994e-06
CARD10,29.9242496332921,4.12273388368832,0.555243254334815,5.59767556890738e-16,3.89515158753846e-15
CARD14,4.52825391341621,2.05907874870566,0.528097850384715,5.0553669119337e-06,1.37647691241897e-05
CASKIN2,3.83395772323117,2.26975942854014,0.475572775384957,6.43366570077072e-08,2.1492780189572e-07
CASR,1.26755298879342,2.01439977154475,0.897795362476171,0.00130109688095167,0.00255892165594158
CASS4,417.635806277226,3.70278455841234,0.271887052524666,2.38148711100945e-44,1.2627672538468e-42
CATSPERE,2.28039689871592,3.03316730587532,0.708742246710767,2.14423633880384e-07,6.79371647846584e-07
CBARP,2.79436361557517,2.00644000756174,0.511339640067074,5.06864419066456e-06,1.37963693375385e-05
CBFA2T3,794.956269877598,2.88009933635825,0.232948568338023,7.70657792761688e-37,2.52709120201647e-35
CBL,3761.22010309251,2.0989834781143,0.112680384335669,8.94421675164543e-79,3.62864793563848e-76
CBLIF,2.96722407403805,3.40474439009771,0.603435870115266,1.41730143024885e-10,6.16732937158671e-10
CCDC158,1.89872443930461,3.34423036044777,0.751043618687624,6.8300995460863e-08,2.27604749916859e-07
CCDC170,19.292605104766,2.82560134833515,0.466728183484137,2.35939519426729e-11,1.10406784238178e-10
CCDC201,11.7102732740506,6.28787417184671,0.729680603586375,9.26101951183581e-20,8.66730071802445e-19
CCDC92B,14.7964888940909,3.13255111504773,0.344543649616176,1.32789297480456e-21,1.42994400897936e-20
CCL16,711.320536437738,2.96914350564681,0.313319021360143,4.29666354914911e-23,5.20884611639376e-22
CCL20,88.7256387249164,2.50846254914857,0.823463038847181,5.26894368916532e-05,0.000126293930554395
CCM2L,19.642587518634,5.16188500919087,0.454024471368398,3.66373153973609e-32,8.74333744332367e-31
CCN1,1.30680973170046,2.80731157606197,0.952219866859644,4.49840167267464e-05,0.000108796086482475
CCN2,3.24034709614944,3.12871172347914,0.781145199206755,6.14195386571287e-07,1.8473514687476e-06
CCNK,658.253528897777,2.93831793545499,0.156748908043801,3.93670937734795e-80,1.80726039704829e-77
CCR3,105.092639943254,2.31158345963283,0.359783545382253,4.37158477090842e-12,2.17209616429785e-11
CCR6,134.319204695994,2.22193681113718,0.370999820628357,8.10037576084456e-11,3.5938722062038e-10
CCRL2,751.546978047683,5.63399437985688,0.431744083953964,6.75756564753864e-41,2.76078999347334e-39
CD101,614.048389792153,3.46751558972028,0.28312207332762,1.7353268869809e-36,5.57509715347732e-35
CD164,6057.3479095377,2.28363750523393,0.263776030599234,1.67279699964037e-19,1.53832069893128e-18
CD177,4.79203662028743,2.86118786601224,0.66720708028201,2.58305445575543e-07,8.11032349774427e-07
CD248,35.394692161441,2.42212804300707,0.367918057901848,1.29559601924576e-12,6.73872169223087e-12
CD68,1885.00960540446,4.15408168893886,0.40549995179774,6.31535568740719e-27,1.04328958301911e-25
CD82,1260.83993128063,2.04678022482547,0.269393819432573,1.58495929077527e-15,1.06344672413748e-14
CD93,9.92573871290684,3.88198435038283,0.779714492340693,3.28819424104095e-09,1.25547271908425e-08
CDA,1178.98424142781,4.74826563695444,0.394823949688427,1.21900482026989e-35,3.67915901204296e-34
CDC42EP2,23.1744830308681,2.87754862639971,0.454597533367825,3.91445108295398e-12,1.95107426120378e-11
CDH1,13.2142001711437,2.59608335316407,0.43538162169253,5.46976437530743e-11,2.47010198103128e-10
CDH15,5.08672101511073,2.11214920580527,0.38432018288694,1.8241976061058e-09,7.13399521576368e-09
