baseMean,log2FoldChange,lfcSE,pvalue,padj
MSTRG.15424,1.38951510355918,2.64454455100161,0.753749281726351,5.90207843731342e-06,2.96335495215351e-05
MSTRG.15456,1.09785725149165,2.13123821297826,0.731168725746032,0.000100782598915081,0.000376414496965343
MSTRG.15458,35.4289409723925,3.84451962168152,0.533879088692376,6.07087073256966e-15,1.70252336185664e-13
MSTRG.15464,178.037043705405,2.46014398818647,0.185831307259124,9.99601471624859e-42,7.25853468609879e-39
MSTRG.15479,1.98180734265752,2.22196351411513,0.532273453593872,7.30756824154005e-07,4.52428372372084e-06
MSTRG.15531,1.90223326203318,2.21890256434591,0.723434489294416,5.25295839036086e-05,0.000210657100577548
MSTRG.15566,4.06236486154931,4.5212933313385,0.786155068216946,5.06491827182354e-11,7.18130532097045e-10
MSTRG.15567,7.19469984951856,2.11114930945921,0.347248500490201,3.59457494128939e-11,5.26169169951735e-10
MSTRG.1561,12.6092595255788,2.42754119091398,0.343130038399533,2.81220134572792e-14,7.02428473726536e-13
MSTRG.15618,27.8245063268123,5.55199167324499,0.514696625167693,1.79961608469671e-29,3.38794391056051e-27
MSTRG.15653,8.24830865066954,2.66928448176576,0.569340900674009,3.73868335217558e-08,3.0260712546351e-07
MSTRG.1568,43.2535001599486,4.46534546186509,0.471443834998239,2.63501272474129e-23,2.41873944557291e-21
MSTRG.15692,6.77185610242012,3.69334631013599,0.486256729728779,3.36839099266713e-16,1.14048502352886e-14
MSTRG.157,2.39001342571026,2.81705562288623,0.497604431521144,1.89091121651917e-10,2.42561557440175e-09
MSTRG.15734,0.977036217375901,2.05275037255013,0.7986979694273,0.000328100347215062,0.00107691278708155
MSTRG.1574,4.27608211719719,2.54876356422159,0.440990028324463,1.19734799582092e-10,1.58802866608159e-09
MSTRG.15744,8.8345259407371,2.77512932937066,1.05400553704616,8.45395823029493e-05,0.000321702936062805
MSTRG.15758,1.43989036469052,2.01941351012248,1.00574167625465,0.00140918566346827,0.0038949922389392
MSTRG.15793,842.200414580944,2.23762246994812,0.563174240947564,1.68796905433043e-06,9.62281979886339e-06
MSTRG.15966,2.68519122412089,2.54607078830565,0.615217083927981,5.33220590218905e-07,3.39697353605852e-06
MSTRG.15980,2.059748189164,2.5595267961441,0.631631132874528,7.58478668738294e-07,4.67881926358828e-06
MSTRG.16035,38.6093745026106,3.8741265030758,0.320680143772775,1.78922645085991e-35,6.11404238636701e-33
MSTRG.16037,8.71120226801411,3.55230704180706,0.434292277109397,3.35692124816631e-18,1.5615620526216e-16
MSTRG.16039,61.4097649124954,3.30997165423383,0.365363082042653,1.65873846650542e-21,1.17921225527931e-19
MSTRG.16044,12.0941050773809,2.81987959910853,0.454741220237,7.2424387783944e-12,1.20748884987548e-10
MSTRG.16105,16.2796634522296,2.0654461185813,0.298715361737066,1.52698295521574e-13,3.41546946594569e-12
MSTRG.16114,3.02719984087202,2.01798946722678,0.51490953582498,3.16145186062652e-06,1.69541710763625e-05
MSTRG.16138,1.96056329072193,2.94353252553767,0.861464706503566,5.82476367911872e-06,2.92996276902132e-05
MSTRG.16139,6.19258802528356,4.05759307677778,0.704482376879435,6.25095743949913e-11,8.73501489071452e-10
MSTRG.16310,5.31057822964072,2.89767835939546,0.764114533472125,1.5101334613219e-06,8.69925868695194e-06
MSTRG.16345,34.3863996715581,2.12565687882928,0.445193675074916,5.21924413380273e-08,4.09562607983315e-07
MSTRG.1639,6.01988331934319,3.24946914722808,0.504191068105044,1.25515229363399e-12,2.39899108019847e-11
MSTRG.16453,2.65094183017021,2.41092265547062,0.547207289583124,1.93291128587795e-07,1.34542801316229e-06
MSTRG.16515,5.92253918264941,2.5903414328893,0.426308610551465,1.90230473017144e-11,2.93903189770865e-10
MSTRG.16558,29.650186488963,2.60513063661586,0.396695445458618,7.92745660414119e-13,1.55956504765746e-11
MSTRG.16591,19.1635727194616,2.71473235252521,0.324813219401074,9.44720116671236e-19,4.8566496617344e-17
MSTRG.166,3.67610315445184,2.29345158748508,0.625955077414229,5.38071482422028e-06,2.73092096370561e-05
MSTRG.1662,8.52836910142462,2.2553447375303,0.408469662242509,7.85560638666866e-10,8.94790975091021e-09
MSTRG.16632,2.72391280037797,2.15400564239744,0.547069067443836,2.26640689564936e-06,1.255601771181e-05
MSTRG.16694,2.56833438993786,2.14379889930671,0.545783655842613,2.40071448946104e-06,1.32154669012378e-05
MSTRG.16730,1.75531859091861,3.0440870388401,0.705531486586219,1.51495262749592e-07,1.0781244950034e-06
MSTRG.16767,33.4088265405836,3.22497003191735,0.434863386018883,1.41860374692831e-15,4.41025250497651e-14
MSTRG.16849,5.07701573684068,2.72954635204899,0.40023657717682,1.28255275966582e-13,2.89421339728361e-12
MSTRG.16904,2.34704825441624,2.11217597299954,0.737706065271043,0.000122831903091626,0.00044905479702579
MSTRG.16908,5.73721823466811,2.65738637056428,0.500221675443241,1.52798577526009e-09,1.63985256176237e-08
